number,formid,form.sample_collection_dt,form.coordinates,form.species,form.if_other,form.cnty_name,form.sbcnty_name,form.sbcnty_name1,form.ward_sample,form.ward_sample1,form.sample_source,form.clinical_signs,form.if_known,form.other,completed_time,started_time,username,received_on,form_link,hq_user
0,29170d4e-1d92-4757-94a1-9ae33a3fdf59,02/07/2021,-1.668637 37.7992833 985.11 7.35,3,---,mkn_cnty,Mbooni,---,Kalawa,---,community,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects,,02/07/2021 09:06,02/07/2021 09:04,jim,02/07/2021 09:06,https://www.commcarehq.org/a/onewater/reports/form_data/29170d4e-1d92-4757-94a1-9ae33a3fdf59/,jim
1,bc723fea-d991-4a2c-83b4-59773906b329,12/07/2021,-1.8126218 37.5942726 1198.16 23.26,6,Sheep,mkn_cnty,Makueni,---,Wote,---,health_worker,1,---,The_Sheep_was_bitten_by_a_Stray_dog,12/07/2021 10:05,12/07/2021 10:02,jim,12/07/2021 10:05,https://www.commcarehq.org/a/onewater/reports/form_data/bc723fea-d991-4a2c-83b4-59773906b329/,jim
2,d33e4f1c-6282-43f7-8fed-a60cf9158570,09/07/2021,-1.756450105458498 37.69349366426468 1005.0 5.0,1,---,mkn_cnty,Mbooni,---,Waia / Kako,---,health_facility,1,aggressive biting_objects high_libido,---,09/07/2021 11:06,09/07/2021 11:01,muteti,15/07/2021 07:21,https://www.commcarehq.org/a/onewater/reports/form_data/d33e4f1c-6282-43f7-8fed-a60cf9158570/,muteti
3,8fe0592d-a19c-47d9-9c27-d693329e2251,18/07/2021,-1.9056825153529644 37.74589757435024 1043.0 6.5,5,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive hydrophobia excessive_salivation high_libido paralysis,---,18/07/2021 15:56,18/07/2021 15:51,muteti,18/07/2021 15:59,https://www.commcarehq.org/a/onewater/reports/form_data/8fe0592d-a19c-47d9-9c27-d693329e2251/,muteti
4,fa760392-f426-4403-a4f2-5c7e0153b479,26/07/2021,-1.7593712825328112 37.62397021986544 1097.0 8.0,1,---,mkn_cnty,Makueni,---,Wote,---,health_worker,1,aggressive hydrophobia biting_objects,---,26/07/2021 13:08,26/07/2021 13:05,muteti,26/07/2021 13:11,https://www.commcarehq.org/a/onewater/reports/form_data/fa760392-f426-4403-a4f2-5c7e0153b479/,muteti
5,a8da5f40-e8e8-47b8-871a-79cb761e2ecb,05/08/2021,-1.9109679339453578 37.73264955729246 1068.0 5.0,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects,---,05/08/2021 14:27,05/08/2021 14:23,muteti,05/08/2021 14:31,https://www.commcarehq.org/a/onewater/reports/form_data/a8da5f40-e8e8-47b8-871a-79cb761e2ecb/,muteti
6,73fe5e33-9346-4063-80c1-5e5730136926,09/08/2021,-1.6978065 37.8155588 957.28 5.08,1,---,mkn_cnty,Mbooni,---,Kalawa,---,health_worker,1,aggressive running_aimlessly biting_objects,---,09/08/2021 14:27,09/08/2021 14:26,jim,09/08/2021 14:27,https://www.commcarehq.org/a/onewater/reports/form_data/73fe5e33-9346-4063-80c1-5e5730136926/,jim
7,3b786487-90bf-427b-bd93-b773abcacbb5,10/08/2021,-1.9913764111697674 37.75691717863083 995.0 8.5,2,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,0,---,---,10/08/2021 13:41,10/08/2021 13:40,muteti,10/08/2021 13:41,https://www.commcarehq.org/a/onewater/reports/form_data/3b786487-90bf-427b-bd93-b773abcacbb5/,muteti
8,f8833c7c-c98d-4e88-b538-707c816bec54,10/08/2021,-1.9913538 37.7568672 1013.22 4.92,1,---,mkn_cnty,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly biting_objects,---,10/08/2021 13:44,10/08/2021 13:42,jim,10/08/2021 14:37,https://www.commcarehq.org/a/onewater/reports/form_data/f8833c7c-c98d-4e88-b538-707c816bec54/,jim
9,4c9c74f9-4d11-4cbf-a9fb-1ec14a0dbe19,11/08/2021,0.0919224 34.2327891 1214.85 10.78,1,---,sia_cnty,---,Alego_Usonga,---,Central Alego,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects,---,11/08/2021 11:53,11/08/2021 11:51,oigo,11/08/2021 11:53,https://www.commcarehq.org/a/onewater/reports/form_data/4c9c74f9-4d11-4cbf-a9fb-1ec14a0dbe19/,oigo
