sample_collection_dt,Latitude,Longitude,Elevation,species,if_other,cnty_name,sbcnty_name,sbcnty_name1,ward_sample,ward_sample1,sample_source,clinical_signs,if_known,other,animal_species,animal_id,village,location,sub_counties,contact_details,bar_code,rapid_diagnostic_test,lab_diagnostics_pcr,test_location,sequence_status
2021-07-02,-1.668637,37.7992833,985.11,Goat,---,Makueni,Mbooni,---,Kalawa,---,community,1,aggressive running_aimlessly hydrophobia excessive_salivation biting_objects,"",Caprine,GM 001/ 2021,Ngaanwa,Athi,"",703440406,Z0083214,Positive,Positive,Nairobi,Sequenced
2021-07-12,-1.8126218,37.5942726,1198.16,Sheep,Sheep,Makueni,Makueni,---,Wote,---,health_worker,1,---,The_Sheep_was_bitten_by_a_Stray_dog,Ovine,S/001/2021,Kavingo,Wote,"",728340344,Z0083213,Negative,Negative,Nairobi,Sequenced
2021-07-09,-1.756450105458498,37.69349366426468,1005.0,Dog,---,Makueni,Mbooni,---,Waia / Kako,---,health_facility,1,aggressive biting_objects high_libido,---,Canine,"",Ngomano,Kako,"",708200912,Z0083207,Negative,Negative,Nairobi,Sequenced
2021-07-18,-1.9056825153529644,37.74589757435024,1043.0,Cattle,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive hydrophobia excessive_salivation high_libido paralysis,---,Bovine,COW/MKN/002/2021,Kathonzweni,Kathonzweni,"",70004405,Z0083216,Positive,Positive,Nairobi,Sequenced
2021-07-26,-1.7593712825328112,37.62397021986544,1097.0,Dog,---,Makueni,Makueni,---,Wote,---,health_worker,1,aggressive hydrophobia biting_objects,---,Canine,DM 008 / 2021,Nthangu,Wote,"",710512080,Z0083200,Positive,Positive,Nairobi,Sequenced
2021-08-05,-1.9109679339453578,37.73264955729246,1068.0,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly excessive_salivation biting_objects,---,Canine,DM 009 / 2021,Kathonzweni,Kathonzweni,"",726692721,Z0083220,Positive,Positive,Nairobi,Sequenced
2021-08-09,-1.6978065,37.8155588,957.28,Dog,---,Makueni,Mbooni,---,Kalawa,---,health_worker,1,aggressive running_aimlessly biting_objects,---,Canine,"",Mbusyani,Kathulumbu,"",721293877,Z0083231,Positive,Positive,Nairobi,Sequenced
2021-08-10,-1.9913764111697674,37.75691717863083,995.0,Cat,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,0,---,---,"",CAT 001 /2021,Ngomeni,Mbuvo,"",723588992,Z0083219,Negative,Positive,Nairobi,Sequenced
2021-08-10,-1.9913764111697674,37.75691717863083,995.0,Cat,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,0,---,---,Canine,DM 011 / 2021,Ngomeni,Mbuvo,"",723588992,Z0083218,Positive,Positive,Nairobi,Sequenced
2021-08-10,-1.9913538,37.7568672,1013.22,Dog,---,Makueni,Makueni,---,Kathonzweni,---,health_worker,1,aggressive running_aimlessly biting_objects,---,"",CAT 001 /2021,Ngomeni,Mbuvo,"",723588992,Z0083219,Negative,Positive,Nairobi,Sequenced
