Date Collected,Animal Species,Animal ID,Village ,Location,Sub-counties,County,Contact Details,BarCode,Rapid Diagnostic Test ,Lab Diagnostics (PCR),Test Location,Sequence Status
16/08/2021,Canine,SIA/CAN/002,Kwoyo,Imbo East,,Siaya,,Z00861875,Negative,Negative,Nairobi,Sequenced
16/08/2021,Canine,SIA/CAN/003,Lela,Imbo East,,Siaya,,Z00861876,Negative,Negative,Nairobi,Sequenced
11/08/2021,Canine,SIA/CAN/001,Boro,Central Alego,,Siaya,,Z00861877,Positive,Positive,Nairobi,Sequenced
20/08/2021,Bovine,SIA/BOV/001,Uriri,Imbo West,,Siaya,,Z00861873,Positive,Positive,Nairobi,Sequenced
30/08/2021,Canine,SIA/CAN/004,Nyabondo,Imbo West,,Siaya,,Z00861874,Positive,Positive,Nairobi,Sequenced
02/09/2021,Bovine,SIA/BOV/003,Mireri,Siaya Township,,Siaya,,Z00861871,Positive,,,
01/10/2021,Bovine,SIA/BOV/005,Garra,West Uyoma,,Siaya,,Z00861862,Positive,,,
05/10/2021,Bovine,SIA/BOV/006,Nyawara,West Uyoma,,Siaya,,Z00861861,Positive,,,
15/10/2021,Bovine,SIA/BOV/007,Achage,Siaya Township,,Siaya,,Z00861858,Positive,,,
17/10/2021,Bovine,SIA/BOV/009,Ginga,West Uyoma,,Siaya,,Z00861857,Positive,,,
18/10/2021,Bovine,SIA/BOV/010,Arongo,West Uyoma,,Siaya,,Z00861856,Positive,,,
11/11/2021,Bovine,SIA/BOV/011,Alara,Central Sakwa,,Siaya,,Z00861847,Positive,Positive,Nairobi,Sequenced
31/08/2021,Bovine,SIA/BOV/002,Boro,Central Alego,,Siaya,,Z00861872,Positive,Positive,Nairobi,Sequenced
05/09/2021,Canine,SIA/CAN/005,Komolo,Imbo East,,Siaya,,Z00861867,Positive,Positive,Nairobi,Sequenced
05/09/2021,Canine,SIA/CAN/006,Komolo,Imbo East,,Siaya,,Z00861868,Positive,Negative,Nairobi,Sequenced
05/09/2021,Canine,SIA/CAN/007,Komolo,Imbo East,,Siaya,,Z00861869 ,Positive,Positive,Nairobi,Sequenced
05/09/2021,Canine,SIA/CAN/008,Rae,Siaya Township,,Siaya,,Z00861870 ,Positive,Positive,Nairobi,Sequenced
11/09/2021,Canine,SIA/CAN/009,Nyamonye,Imbo East,,Siaya,,Z00861865,Positive,Positive,Nairobi,Sequenced
21/09/2021,Canine,SIA/CAN/010,Pala,West Uyoma,,Siaya,,Z00861864,Positive,,,
26/09/2021,Canine,SIA/CAN/011,Sigor,West Asembo,,Siaya,,Z00861863,Positive,,,
12/10/2021,Canine,SIA/CAN/012,Kanyagero,Imbo West,,Siaya,,Z00861860,Positive,,,
14/10/2021,Canine,SIA/CAN/013,Lwak,West Asembo,,Siaya,,Z00861859,Positive,,,
03/11/2021,Canine,SIA/CAN/016,Nyangera,Imbo West,,Siaya,,Z00861850,Positive,,,
03/11/2021,Canine,SIA/CAN/017,Nyamonye,Imbo East,,Siaya,,Z00861851,Positive,,,
04/11/2021,Canine,SIA/CAN/018,Nyangera,Imbo West,,Siaya,,Z00861853,Positive,,,
06/11/2021,Canine,SIA/CAN/019,Atemo,West Asembo,,Siaya,,Z00861852,Positive,,,
10/09/2021,Bovine,,Akom,West Asembo,,Siaya,,Z00861866,Positive,Positive,Nairobi,Sequenced
26/10/2021,Canine,,Nyangera,Imbo East,,Siaya,,Z00861855,Positive,,,
28/10/2021,Canine,,Nyamonye,Imbo East,,Siaya,,Z00861854,Positive,,,
